id,lat,lon,brand
412779720,46.797761,7.6837257,Agrola
412780674,46.7963964,7.6914051,Tamoil
413332243,46.3253095,6.963197,Eni
418006104,47.106173,6.8343637,Jubin
418016506,46.5623473,6.6870242,Eni
418364681,47.0687548,7.6007489,Shell
418364926,47.0668452,7.6053713,Agrola
420437934,46.1121477,8.9318574,Shell
421941395,47.0576276,7.6294384,Agrola
421981859,47.2158393,8.573721,Coop
423352403,47.6942169,8.5715463,Agrola
427921820,47.262549,8.17665,Tamoil
428933773,46.4685396,6.8327705,Eni
429161254,46.1846537,6.1373308,Eni
430399623,46.8327381,9.8536956,Shell
430444348,46.9997609,7.4644307,Agrola
430480451,46.95745,7.4861054,Eni
430829372,46.9568291,7.4839823,BP
430905343,47.0175225,7.4908803,Migrol
431206375,46.6182993,6.4165305,Eni
432296457,47.2094875,9.4886231,Agrola
432615367,47.3159652,8.5302907,Avia
433463274,47.1687532,7.3517187,Socar
435573454,47.6843704,8.6600427,Coop Pronto
438227914,46.9542541,7.4333135,Ruedi Rüssel
439704540,47.0800536,8.1305903,BP
440817437,47.3660407,9.5542563,Avia
440817438,47.3634959,9.5557017,Agrola
440848081,46.4107908,8.1515888,Tamoil
440891382,46.8152374,7.215482,BP
441134960,46.5052045,6.6765399,Tamoil
441595897,47.3506384,8.2723513,BP
441890755,47.6508092,9.1656162,Tamoil
442497825,47.2048981,7.5624058,BP
442642800,47.3881888,9.652495,Coop
442642801,47.3884504,9.6515888,BP
442642802,47.3893601,9.6509158,Eni
442642803,47.3790862,9.6683762,Red Fox
442661254,46.1549418,8.9625001,Migrol
443886188,46.4851346,7.2745679,Tamoil
447307830,47.6062644,8.2320174,Socar
447307833,47.60561,8.2312691,Shell
454582502,47.1282521,8.7450831,Avia
456381234,47.3874942,9.392037,BP
457333487,47.5434128,7.5894671,Avia
457679934,47.1311876,8.7659454,Shell
459174387,47.5236294,7.6943285,Coop
460886548,47.4608585,9.6028383,Avia
461145223,46.5751088,6.8395729,Eni
